,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,Avera,33.194,-82.5271,55.54,27,4,6.35,US,1669052134
144,Christchurch,-43.5333,172.6333,60.91,47,33,11.5,NZ,1669052204
145,Bengkulu,-3.8004,102.2655,75.34,89,99,5.41,ID,1669052135
146,São Filipe,14.8961,-24.4956,77.88,60,32,10.36,CV,1669052418
147,Shenjiamen,29.9576,122.298,64.83,84,36,9.71,CN,1669052136
148,Saldanha,-33.0117,17.9442,64.45,76,100,17.31,ZA,1669052293
149,Slonim,53.0867,25.3219,24.53,97,100,5.1,BY,1669052419
150,Alexandria,31.2156,29.9553,68.54,73,40,8.05,EG,1669052266
151,Lata,40.1629,-8.3327,56.07,82,100,10.38,PT,1669052420
152,Mayo,38.8876,-76.5119,47.12,51,0,9.22,US,1669052421
153,Shimoda,34.6667,138.95,61.23,81,61,5.12,JP,1669052421
154,Oleksandrivka,46.8383,32.7612,58.53,76,97,18.48,UA,1669052139
155,Aklavik,68.2191,-135.0107,3.56,99,96,2.95,CA,1669052422
156,Praia da Vitória,38.7333,-27.0667,70.05,83,40,15.99,PT,1669052139
157,Lebu,-37.6167,-73.65,60.57,58,12,20.0,CL,1669052140
158,Severo-Yeniseyskiy,60.3725,93.0408,-24.93,100,84,4.23,RU,1669052422
159,Asău,46.4333,26.4,33.28,99,100,1.9,RO,1669052423
160,San Cristobal,7.7669,-72.225,69.98,62,92,1.7,VE,1669052253
161,Atherton,53.5237,-2.4935,45.9,93,100,1.99,GB,1669052423
162,Sarkand,45.41,79.9186,37.26,91,100,4.29,KZ,1669052424
163,Torbay,47.6666,-52.7314,37.58,78,100,27.63,CA,1669052141
164,Provideniya,64.3833,-173.3,10.6,94,100,9.62,RU,1669052425
165,Callaway,30.153,-85.5699,65.91,60,40,9.22,US,1669052425
166,Saint-Philippe,-21.3585,55.7679,76.59,77,18,5.08,RE,1669052426
167,Atyashevo,54.5644,46.0691,28.36,97,98,7.0,RU,1669052143
168,Kavieng,-2.5744,150.7967,82.22,75,48,7.74,PG,1669052426
169,Chui,-33.6971,-53.4616,72.93,76,100,6.22,UY,1669052144
170,Villamontes,-21.25,-63.5,81.84,51,100,13.8,BO,1669052427
171,Mahébourg,-20.4081,57.7,76.24,78,20,3.44,MU,1669052427
172,Longview,32.5007,-94.7405,50.25,62,100,3.44,US,1669052217
173,Chokurdakh,70.6333,147.9167,-22.59,98,100,2.17,RU,1669052428
174,Kutum,14.2,24.6667,69.98,18,3,6.8,SD,1669052428
175,Timrå,62.487,17.3257,30.67,80,100,10.36,SE,1669052146
176,Harstad,68.799,16.5293,18.79,49,0,5.75,NO,1669052429
177,Talnakh,69.4865,88.3972,-24.77,94,97,2.01,RU,1669052429
178,Bethel,41.3712,-73.414,38.62,45,0,10.36,US,1669052199
179,Bariloche,-41.1456,-71.3082,69.55,9,0,10.36,AR,1669052429
180,Hong Kong,22.2855,114.1577,75.38,84,100,11.99,HK,1669052190
181,Jamestown,42.097,-79.2353,38.71,35,0,14.97,US,1669052399
182,Norden,53.6,7.2,37.94,81,72,16.26,DE,1669052431
183,Lipin Bor,60.2622,37.9763,16.23,93,73,4.18,RU,1669052431
184,Urupês,-21.2017,-49.29,90.73,24,85,10.22,BR,1669052431
185,Harlingen,26.1906,-97.6961,48.11,96,100,18.41,US,1669052038
186,Thompson,55.7435,-97.8558,10.56,85,75,6.91,CA,1669052432
187,Partūr,19.6,76.2167,62.96,43,94,5.41,IN,1669052432
188,Badarwās,24.9667,77.5667,60.51,38,0,1.68,IN,1669052433
189,La Macarena,2.1837,-73.7849,87.62,54,66,8.32,CO,1669052433
190,Nova Olímpia,-14.7972,-57.2881,89.38,47,89,3.27,BR,1669052152
191,Usinsk,65.9939,57.5281,-8.73,99,16,7.74,RU,1669052152
192,Bubaque,11.2833,-15.8333,83.53,46,80,6.17,GW,1669052434
193,Ceres,37.5949,-120.9577,52.05,87,0,0.0,US,1669052434
194,São José da Coroa Grande,-8.8978,-35.1478,81.25,63,53,10.47,BR,1669052435
195,Antofagasta,-23.65,-70.4,67.28,61,11,8.14,CL,1669052377
196,Kruisfontein,-34.0033,24.7314,67.89,80,61,7.61,ZA,1669052374
197,Dillon,34.4166,-79.3712,57.87,33,2,5.39,US,1669052154
198,Tyukhtet,56.5389,89.3011,6.15,94,99,6.78,RU,1669052154
199,Katsuura,35.1333,140.3,60.42,88,73,10.04,JP,1669052436
200,Araouane,18.9048,-3.5265,77.99,12,99,13.11,ML,1669052436
201,Balakhninskiy,58.0106,114.2769,-4.86,94,100,2.06,RU,1669052437
202,Gigmoto,13.7796,124.39,79.86,88,96,10.42,PH,1669052156
203,Husavik,66.0449,-17.3389,38.88,82,14,12.1,IS,1669052437
204,Camabatela,-8.1881,15.375,63.07,98,83,3.4,AO,1669052438
205,Ngunguru,-35.6167,174.5,64.42,94,84,9.84,NZ,1669052438
206,Petropavlovka,50.6114,105.3196,9.46,92,100,2.71,RU,1669052157
207,Alta Floresta,-9.8756,-56.0861,93.02,55,40,3.44,BR,1669052439
208,Evensk,61.95,159.2333,11.5,73,100,14.67,RU,1669052439
209,Lompoc,34.6391,-120.4579,66.78,30,0,6.91,US,1669052309
210,Shirhatti,15.2333,75.5833,70.5,56,91,6.06,IN,1669052439
211,Port-Gentil,-0.7193,8.7815,80.56,78,75,9.22,GA,1669052159
212,Hithadhoo,-0.6,73.0833,80.71,78,64,10.56,MV,1669052391
213,Half Moon Bay,37.4636,-122.4286,59.61,50,20,4.61,US,1669052395
214,Gizo Government Station,-8.103,156.8419,82.22,75,63,7.31,SB,1669052440
215,Souillac,-20.5167,57.5167,73.78,78,20,3.44,MU,1669052161
216,Shubarshi,48.5872,57.1869,35.58,100,100,2.57,KZ,1669052441
217,Laguna,38.421,-121.4238,62.64,70,0,0.0,US,1669052161
218,Fairbanks,64.8378,-147.7164,16.61,86,40,0.0,US,1669052173
219,Kisangani,0.5167,25.2,74.66,79,88,1.7,CD,1669052162
220,Wilkie,52.4168,-108.7014,28.89,93,100,10.36,CA,1669052442
221,Alice Springs,-23.7,133.8833,67.55,42,100,5.75,AU,1669052442
222,Karlskrona,56.1616,15.5866,32.45,96,100,12.41,SE,1669052443
223,Atasū,48.6814,71.6433,27.82,98,100,6.55,KZ,1669052443
224,Dakar,14.6937,-17.4441,86.13,45,0,9.22,SN,1669052285
225,Castro,-24.7911,-50.0119,79.9,45,99,8.32,BR,1669052423
226,College,64.8569,-147.8028,16.59,86,75,0.0,US,1669052444
227,Iralaya,15.0,-83.2333,81.86,78,99,11.74,HN,1669052444
228,Bagdarin,54.4333,113.6,4.8,90,100,1.66,RU,1669052444
229,İdil,37.3411,41.8895,55.33,47,0,5.75,TR,1669052445
230,Plettenberg Bay,-34.0527,23.3716,63.05,79,82,3.51,ZA,1669052167
231,Kurchum,48.5722,83.6542,26.47,97,100,6.71,KZ,1669052167
232,Port Shepstone,-30.7414,30.455,70.92,80,92,17.83,ZA,1669052168
233,Juneau,58.3019,-134.4197,44.22,94,100,29.93,US,1669052266
234,Qasigiannguit,68.8193,-51.1922,16.05,90,89,3.98,GL,1669052446
235,Aykhal,66.0,111.5,-17.66,100,71,4.81,RU,1669052169
236,Atascadero,35.4894,-120.6707,61.32,26,80,6.6,US,1669052189
237,Lakselv,70.0513,24.9718,10.22,85,0,2.3,NO,1669052447
238,Tessalit,20.1986,1.0114,75.38,13,95,11.12,ML,1669052447
239,Khorixas,-20.3667,14.9667,73.74,36,53,14.56,NA,1669052171
240,Namatanai,-3.6667,152.4333,79.3,82,38,6.51,PG,1669052448
241,Atar,20.5169,-13.0499,82.56,11,0,10.89,MR,1669052172
242,Vengerovo,55.6848,76.7471,6.94,91,73,9.26,RU,1669052448
243,Finschhafen,-6.6024,147.8681,79.72,84,70,5.91,PG,1669052449
244,Portland,45.5234,-122.6762,44.11,60,100,7.0,US,1669052226
245,Ahipara,-35.1667,173.1667,64.09,98,97,10.94,NZ,1669052449
246,Basiawan,6.5342,125.4869,77.94,83,70,2.71,PH,1669052450
247,Umba,66.6871,34.3429,28.13,83,100,3.44,RU,1669052450
248,Pisco,-13.7,-76.2167,70.02,77,0,12.66,PE,1669052451
249,Baykit,61.67,96.37,-28.1,100,56,2.37,RU,1669052451
250,Uvarovo,51.9849,42.2615,33.24,100,100,9.17,RU,1669052451
251,Naliya,23.2667,68.8333,77.22,37,0,5.48,IN,1669052452
252,Saint Anthony,45.0205,-93.218,31.89,63,0,10.36,US,1669052452
253,Jumla,29.2747,82.1838,43.92,37,16,5.06,NP,1669052452
254,Nouadhibou,20.931,-17.0347,85.98,28,0,8.05,MR,1669052371
255,Lagos,6.5833,3.75,84.52,80,100,6.04,NG,1669052277
256,Athabasca,54.7169,-113.2854,34.21,78,54,10.71,CA,1669052453
257,Mandalgovi,45.7625,106.2708,24.75,57,10,9.57,MN,1669052453
258,Margate,51.3813,1.3862,47.89,92,100,13.0,GB,1669052179
259,Matara,5.9485,80.5353,76.08,82,96,6.22,LK,1669052180
260,Jos,9.9167,8.9,68.58,30,6,5.55,NG,1669052454
261,Seredka,58.1584,28.1858,22.75,89,100,8.72,RU,1669052181
262,Ponta do Sol,32.6667,-17.1,71.01,69,67,1.43,PT,1669052181
263,Kununurra,-15.7667,128.7333,76.98,88,100,5.75,AU,1669052182
264,Bambous Virieux,-20.3428,57.7575,76.21,78,20,3.44,MU,1669052455
265,Mahon,39.8885,4.2658,66.76,72,75,20.71,ES,1669052183
266,Hokitika,-42.7167,170.9667,55.98,85,41,9.26,NZ,1669052456
267,Rocha,-34.4833,-54.3333,67.15,96,100,6.49,UY,1669052184
268,Akdepe,42.0551,59.3788,41.09,70,69,2.17,TM,1669052457
269,Novospasskoye,53.1468,47.7514,30.88,96,100,5.64,RU,1669052185
270,Aiquile,-18.2041,-65.1807,72.14,49,48,14.85,BO,1669052457
271,Nemuro,43.3236,145.575,52.23,93,77,22.66,JP,1669052186
272,Vardø,70.3705,31.1107,35.58,93,75,8.05,NO,1669052458
273,Kumul,42.8,93.45,35.8,49,52,4.59,CN,1669052458
274,Manacapuru,-3.2997,-60.6206,95.13,38,82,0.43,BR,1669052459
275,Hilo,19.7297,-155.09,69.24,95,75,6.91,US,1669052459
276,Coyhaique,-45.5752,-72.0662,62.55,42,75,8.05,CL,1669052460
277,Pedasí,7.5333,-80.0333,79.07,79,90,5.06,PA,1669052460
278,Solnechnyy,50.7214,136.6319,13.39,91,62,1.21,RU,1669052460
279,Dicabisagan,17.0818,122.4157,76.19,91,97,1.74,PH,1669052461
280,Bathsheba,13.2167,-59.5167,81.21,78,40,27.63,BB,1669052461
281,Volchikha,52.0333,80.3833,14.49,96,100,4.18,RU,1669052462
282,Lesosibirsk,58.2358,92.4828,-8.05,99,99,3.09,RU,1669052462
283,Orotukan,62.2667,151.7,-7.83,99,100,4.18,RU,1669052463
284,Huarmey,-10.0681,-78.1522,71.01,72,83,8.79,PE,1669052463
285,Durusu,41.3053,28.6767,62.78,87,29,4.0,TR,1669052192
286,Pāsighāt,28.0667,95.3333,61.27,57,0,3.42,IN,1669052192
287,Mar del Plata,-38.0023,-57.5575,61.83,93,100,18.41,AR,1669052464
288,Åmot,59.5714,7.9877,25.75,93,97,6.62,NO,1669052464
289,Upata,8.0086,-62.3989,82.18,64,75,5.32,VE,1669052465
290,Campoverde,-8.4753,-74.8058,89.29,39,99,1.16,PE,1669052465
291,Havre-St-Pierre,50.2334,-63.5986,28.4,63,0,18.41,CA,1669052194
292,Conceição da Barra,-18.5933,-39.7322,71.35,96,100,8.72,BR,1669052466
293,Onda,39.9667,-0.25,62.91,70,67,14.81,ES,1669052466
294,Xinyang,32.1228,114.0656,52.86,93,100,12.06,CN,1669052195
295,Pochutla,15.7432,-96.4661,88.83,55,0,5.77,MX,1669052195
296,Mtwara,-10.2667,40.1833,81.73,78,40,9.22,TZ,1669052196
297,Tinskoy,56.1525,96.9161,5.94,83,100,8.81,RU,1669052196
298,Rio Grande,-32.035,-52.0986,84.31,68,100,5.37,BR,1669052467
299,Marsá Maţrūḩ,31.3525,27.2453,68.2,64,0,4.61,EG,1669052468
300,Saravena,6.9538,-71.8752,84.47,64,73,2.33,CO,1669052468
301,El Colomo,19.05,-104.25,85.35,58,68,4.41,MX,1669052468
302,Tsimmerbude,54.675,20.1347,28.45,87,98,8.23,RU,1669052275
303,Kīhei,20.785,-156.4656,77.85,70,40,9.22,US,1669052469
304,Kudahuvadhoo,2.6708,72.8944,81.54,77,90,15.23,MV,1669052469
305,Pingdingshan,33.7385,113.3012,51.67,89,100,11.3,CN,1669052470
306,Dongsheng,39.8161,109.9776,32.52,45,100,6.46,CN,1669052470
307,Taft,31.7471,54.2088,49.95,37,0,4.61,IR,1669052200
308,Verkhnyaya Inta,65.9811,60.3094,-16.56,100,44,2.57,RU,1669052200
309,Ust-Maya,60.4167,134.5333,-27.51,100,100,0.45,RU,1669052471
310,Aurangabad,19.8833,75.3333,62.74,43,98,5.57,IN,1669052201
311,Karratha,-20.7377,116.8463,75.31,57,90,20.54,AU,1669052472
312,Bocana de Paiwas,12.7857,-85.1227,75.6,88,99,9.13,NI,1669052472
313,Terrace,54.5163,-128.6035,33.71,100,100,0.0,CA,1669052445
314,Ca Mau,9.1769,105.15,74.57,93,100,1.45,VN,1669052473
315,Moscow,55.7522,37.6156,24.64,96,87,6.46,RU,1669052397
316,Marang,5.2056,103.2059,78.71,89,73,3.13,MY,1669052473
317,Kuytun,54.3419,101.5036,5.68,96,100,1.74,RU,1669052474
318,Klaksvík,62.2266,-6.589,43.72,69,55,20.22,FO,1669052204
319,Celestún,20.8667,-90.4,81.21,71,100,11.72,MX,1669052475
320,Dolores,-36.3132,-57.6792,61.77,80,100,15.43,AR,1669052475
321,Whitehorse,60.7161,-135.0538,34.57,87,100,21.85,CA,1669052475
322,Victor Harbor,-35.5667,138.6167,53.01,76,97,14.18,AU,1669052206
323,Ucluelet,48.9329,-125.5528,47.08,82,97,1.99,CA,1669052476
324,Atakpamé,7.5333,1.1333,80.64,33,70,2.62,TG,1669052206
325,Dingle,10.9995,122.6711,75.58,90,58,6.06,PH,1669052476
326,Mortka,59.3322,66.0214,19.63,94,99,9.78,RU,1669052477
327,Stephenville,32.2207,-98.2023,49.82,82,100,4.61,US,1669052477
328,Tamale,9.4008,-0.8393,86.4,16,72,5.82,GH,1669052478
329,Sault Ste. Marie,46.5168,-84.3333,31.82,84,100,18.41,CA,1669052415
330,Conde,-7.2597,-34.9075,80.06,69,75,11.5,BR,1669052478
331,Ponta Delgada,37.7333,-25.6667,69.49,94,40,16.11,PT,1669052479
332,Conakry,9.538,-13.6773,82.63,65,87,6.42,GN,1669052209
333,Kuala Terengganu,5.3302,103.1408,78.75,89,20,3.44,MY,1669052210
334,Samoylovka,51.184,43.7081,34.47,99,100,10.09,RU,1669052210
335,Normandin,48.8333,-72.5321,16.11,73,89,12.66,CA,1669052480
336,Kodra,50.5949,29.5587,30.51,98,100,9.73,UA,1669052480
337,Vanimo,-2.6741,141.3028,78.21,86,100,2.89,PG,1669052481
338,Paka,4.6374,103.4368,80.53,94,94,0.0,MY,1669052481
339,Sørland,67.667,12.6934,37.26,65,2,11.9,NO,1669052212
340,Bucerías,20.75,-105.3333,76.98,73,100,0.0,MX,1669052309
341,Mala Tokmachka,47.5356,35.8929,61.61,57,100,17.18,UA,1669052482
342,Troitsko-Pechorsk,62.7084,56.1964,6.8,93,77,6.08,RU,1669052482
343,Tautira,-17.7333,-149.15,77.4,79,42,13.94,PF,1669052213
344,Amurzet,47.6967,131.0981,11.46,76,4,5.99,RU,1669052214
345,Dhidhdhoo,6.8833,73.1,81.72,63,75,12.17,MV,1669052483
346,Mackenzie,55.2999,-123.1698,30.42,93,100,10.36,CA,1669052484
347,Hofn,64.2539,-15.2082,42.82,87,100,9.22,IS,1669052215
348,Ukiah,39.1502,-123.2078,62.04,56,94,0.98,US,1669052406
349,Nha Trang,12.25,109.1833,75.2,92,99,2.64,VN,1669052484
350,Fort Nelson,58.8053,-122.7002,15.39,86,40,4.61,CA,1669052454
351,Port Macquarie,-31.4333,152.9167,56.28,48,6,9.01,AU,1669052216
352,Henderson,36.0397,-114.9819,58.37,22,0,4.61,US,1669052485
353,Saint-François,46.4154,3.9054,47.64,81,100,8.05,FR,1669052346
354,Sémbé,1.6481,14.5806,73.47,84,99,3.15,CG,1669052217
355,Haines Junction,60.7522,-137.5108,26.55,93,100,1.14,CA,1669052486
356,Sola,-13.8833,167.55,81.91,74,13,9.1,VU,1669052486
357,Sasykoli,47.5515,46.9968,52.12,82,99,9.31,RU,1669052487
